respondent,current_run,current_walk,current_bike,current_swim,desired_run,desired_walk,desired_bike,desired_swim,most_trouble,units,challenge,distance,distance_km,delta_run,delta_walk,delta_swim,delta_bike
1,4,4,1,1,4,4,3,2,bike,km,2.0,10.0,10.0,0,0,1,2
2,1,3,0,0,3,4,1,3,bike,km,0.0,15.0,15.0,2,1,3,1
10,1,4,0,4,0,4,4,4,bike,km,4.0,20.0,20.0,-1,0,0,4
13,0,0,4,0,0,0,4,0,bike,Miles,4.0,200.0,321.868,0,0,0,0
14,4,4,0,0,4,4,3,4,swim,km,0.0,5.0,5.0,0,0,4,3
15,0,0,0,4,0,0,0,4,None,,0.0,0.0,,0,0,0,0
3,0,4,4,0,0,4,4,1,None,,0.0,0.0,,0,0,1,0
4,1,4,0,0,4,4,0,0,run,Miles,3.0,2.0,3.21868,3,0,0,0
5,1,4,4,1,0,4,4,3,swim,Miles,3.0,1.0,1.60934,-1,0,2,0
6,0,3,1,0,2,4,2,0,bike,Miles,4.0,40.0,64.3736,2,1,0,1
7,0,3,0,0,0,4,0,0,walk,Miles,3.0,6.0,9.65604,0,1,0,0
8,0,4,4,0,0,4,4,3,swim,Miles,3.0,1.0,1.60934,0,0,3,0
9,3,4,3,1,3,3,3,3,swim,Miles,1.0,2.0,3.21868,0,-1,2,0
11,3,4,3,1,4,4,4,4,swim,Miles,3.0,5.0,8.0467,1,0,3,1
12,4,3,0,0,4,4,1,1,swim,Miles,3.0,15.0,24.1401,0,1,1,1
40,0,4,4,1,2,4,4,1,run,km,4.0,5.0,5.0,2,0,0,0
41,4,4,4,1,4,4,4,1,bike,km,2.0,40.0,40.0,0,0,0,0
16,2,3,0,4,3,3,3,3,bike,km,4.0,20.0,20.0,1,0,-1,3
17,2,3,0,4,3,3,3,3,bike,km,4.0,20.0,20.0,1,0,-1,3
18,0,4,4,0,0,4,4,1,run,Miles,4.0,3.0,4.82802,0,0,1,0
19,2,4,2,0,4,4,3,0,bike,Miles,3.0,12.0,19.31208,2,0,0,1
20,0,4,3,1,0,4,4,4,swim,km,4.0,4.0,4.0,0,0,3,1
21,4,4,1,1,4,4,2,1,swim,Miles,4.0,1.0,1.60934,0,0,0,1
22,4,4,2,1,4,4,4,2,swim,Miles,1.0,0.0,0.0,0,0,1,2
23,4,4,4,0,4,4,4,0,run,Miles,2.0,15.0,24.1401,0,0,0,0
24,0,4,0,1,0,4,3,1,None,,0.0,0.0,,0,0,0,3
25,4,4,1,2,4,4,1,3,swim,km,2.0,0.5,0.5,0,0,1,0
26,3,4,0,0,4,4,0,2,run,Miles,4.0,10.0,16.0934,1,0,2,0
27,1,4,2,0,3,4,3,0,run,Miles,3.0,12.0,19.31208,2,0,0,1
28,0,4,3,0,0,4,4,1,bike,Miles,4.0,100.0,160.934,0,0,1,1
29,0,4,0,0,0,4,3,0,run,Miles,4.0,2.0,3.21868,0,0,0,3
30,1,4,1,0,3,4,2,0,run,Miles,4.0,10.0,16.0934,2,0,0,1
31,4,4,0,0,4,4,2,2,None,,0.0,0.0,,0,0,2,2
32,3,0,3,1,4,0,4,3,swim,Miles,4.0,1.0,1.60934,1,0,2,1
33,2,4,0,0,4,4,2,2,run,Miles,4.0,9.0,14.48406,2,0,2,2
34,0,3,0,0,0,4,0,0,None,,0.0,0.0,,0,1,0,0
35,2,4,1,2,3,4,2,4,swim,Miles,4.0,3.0,4.82802,1,0,2,1
36,0,4,3,0,1,4,4,1,run,Miles,4.0,4.0,6.43736,1,0,1,1
37,1,3,1,0,1,4,4,3,walk,km,4.0,5.0,5.0,0,1,3,3
38,0,3,3,0,4,4,4,2,run,Miles,4.0,10.0,16.0934,4,1,2,1
39,1,4,0,0,2,4,2,0,swim,Miles,4.0,0.0,0.0,1,0,0,2
44,2,0,2,0,4,0,2,2,swim,Miles,4.0,10.0,16.0934,2,0,2,0
42,3,4,0,0,4,4,4,4,None,,0.0,0.0,,1,0,4,4
43,4,4,3,3,4,4,4,3,swim,Miles,3.0,2.0,3.21868,0,0,0,1
